time,open,high,low,y_f1m,volume,vn30_index
2019-05-08,867.0,874.6,867.0,873.3,91122,872.78
2019-05-09,873.0,875.3,871.0,871.0,79617,871.5
2019-05-10,877.0,877.3,871.8,876.7,78281,876.45
2019-05-13,876.4,878.9,876.1,877.3,41338,879.64
2019-05-14,875.9,883.0,874.5,883.0,43050,882.67
2019-05-15,883.9,893.0,883.6,892.1,38094,893.22
2019-05-16,893.5,896.0,890.0,890.0,33074,891.93
2019-05-17,893.7,895.0,891.2,892.6,66549,890.53
2019-05-20,893.8,909.5,893.5,908.9,98830,901.06
2019-05-21,912.0,914.2,906.6,910.6,102021,901.36
2019-05-22,911.7,912.8,906.3,908.2,90296,897.66
2019-05-23,905.8,908.6,903.7,907.9,82873,895.07
2019-05-24,908.0,912.0,899.8,901.0,97833,884.48
2019-05-27,898.2,903.8,898.0,902.4,80407,889.2
2019-05-28,903.0,905.7,896.6,903.0,93218,885.27
2019-05-29,901.6,904.0,898.0,898.0,92325,883.52
2019-05-30,898.0,900.2,896.8,898.9,72448,883.37
