time,open,high,low,y_f1m,volume,vn30_index
2023-10-02 10:00:00,1164.2,1167.8,1163.6,1165.6,36217,1168.22
2023-10-02 11:00:00,1165.7,1168.8,1165.1,1167.7,14664,1170.02
2023-10-02 13:00:00,1167.9,1171.7,1162.3,1163.1,65105,1165.97
2023-10-02 14:00:00,1163.2,1167.0,1160.0,1166.8,49327,1167.13
2023-10-03 10:00:00,1147.9,1150.3,1138.9,1140.3,64597,1141.56
2023-10-03 11:00:00,1140.2,1143.0,1133.6,1136.1,38195,1136.73
2023-10-03 13:00:00,1136.0,1143.0,1130.4,1140.5,93985,1140.72
2023-10-03 14:00:00,1140.0,1143.5,1128.0,1131.3,79926,1130.89
2023-10-04 10:00:00,1124.7,1134.0,1124.7,1132.5,55647,1132.13
2023-10-04 11:00:00,1132.6,1136.6,1127.0,1135.6,31204,1136.65
2023-10-04 13:00:00,1135.9,1141.0,1133.1,1138.2,75655,1140.82
2023-10-04 14:00:00,1138.2,1143.5,1128.1,1132.5,67422,1138.54
2023-10-05 10:00:00,1133.6,1134.1,1128.0,1132.0,55150,1136.22
2023-10-05 11:00:00,1132.0,1134.8,1131.0,1133.0,23130,1135.72
2023-10-05 13:00:00,1133.0,1135.5,1129.2,1132.6,57304,1133.68
2023-10-05 14:00:00,1132.7,1132.8,1115.0,1120.0,66875,1124.48
2023-10-06 10:00:00,1126.4,1126.7,1122.1,1123.6,36417,1124.66
2023-10-06 11:00:00,1123.8,1124.4,1120.3,1122.9,22050,1124.07
2023-10-06 13:00:00,1122.4,1131.3,1122.3,1130.2,67425,1129.67
2023-10-06 14:00:00,1130.5,1143.0,1130.5,1138.4,68542,1139.78
2023-10-09 10:00:00,1137.4,1142.1,1136.2,1138.0,42390,1143.76
2023-10-09 11:00:00,1137.9,1139.9,1136.6,1138.3,14593,1144.08
2023-10-09 13:00:00,1138.3,1144.0,1137.4,1140.1,58118,1144.07
2023-10-09 14:00:00,1140.0,1147.7,1140.0,1145.0,61766,1150.37
2023-10-10 10:00:00,1159.4,1161.5,1158.0,1159.5,31432,1162.6
2023-10-10 11:00:00,1159.4,1161.0,1158.6,1160.7,13232,1161.94
2023-10-10 13:00:00,1160.8,1161.1,1156.8,1158.5,50895,1160.59
2023-10-10 14:00:00,1158.3,1159.8,1153.9,1157.0,50878,1160.28
2023-10-11 10:00:00,1158.0,1159.0,1156.9,1157.3,18056,1158.79
2023-10-11 11:00:00,1157.3,1158.2,1156.9,1158.0,9467,1157.45
2023-10-11 13:00:00,1158.0,1161.1,1153.1,1159.9,62788,1158.97
2023-10-11 14:00:00,1159.9,1166.0,1159.3,1166.0,55001,1167.29
2023-10-12 10:00:00,1166.2,1166.9,1164.0,1166.7,25708,1169.31
2023-10-12 11:00:00,1166.7,1167.3,1165.6,1165.8,9823,1168.82
2023-10-12 13:00:00,1165.8,1168.3,1162.0,1164.2,44765,1166.71
2023-10-12 14:00:00,1164.2,1165.9,1158.2,1161.5,51594,1165.49
